# This file contains frame element data, the format is:
# sprite x y flipped next
0 0 0 n 10472
264 -8 -14 f 2
173 -10 -23 f 3
44 -12 -29 f 4
714 -8 0 n 5
714 -5 0 n 0
178 -8 -24 n 7
45 -8 -30 n 8
277 -9 -15 f 9
714 -5 0 n 10
714 -8 -1 n 0
262 -9 -14 f 12
173 -8 -23 n 13
44 -7 -29 n 14
714 -8 0 n 15
714 -5 0 n 0
266 -8 -14 f 17
171 -8 -23 n 18
43 -6 -29 n 19
714 -6 0 n 0
266 -8 -14 n 21
167 -7 -23 n 22
42 -6 -28 n 23
714 -6 0 n 0
264 -8 -14 f 25
163 -8 -23 n 26
41 -7 -28 n 27
714 -5 0 n 28
714 -8 0 n 0
266 -8 -14 f 30
165 -10 -23 f 31
42 -11 -28 f 32
714 -6 0 n 0
266 -8 -14 n 34
43 -11 -29 f 35
171 -9 -23 f 36
714 -6 0 n 0
273 -7 -13 f 38
173 -7 -23 f 39
44 -9 -29 f 40
714 -5 0 n 41
714 -2 -1 n 0
274 -7 -14 f 43
174 -7 -22 f 44
44 -9 -28 f 45
714 -5 1 n 0
275 -7 -15 f 47
175 -7 -23 f 48
44 -9 -29 f 49
714 -3 0 n 50
714 -8 -1 n 0
276 -7 -15 f 52
176 -7 -22 f 53
44 -9 -28 f 54
714 -9 0 n 55
714 -1 0 n 0
277 -8 -15 n 57
177 -8 -24 n 58
45 -8 -30 n 59
714 -8 0 n 60
714 -5 -1 n 0
278 -8 -17 n 62
178 -8 -25 n 63
45 -8 -31 n 64
714 -8 -1 n 65
714 -5 -2 n 0
279 -8 -16 n 67
179 -8 -25 n 68
45 -8 -30 n 69
714 -8 -1 n 70
714 -5 0 n 0
280 -8 -16 n 72
180 -8 -25 n 73
45 -8 -31 n 74
714 -5 0 n 75
714 -7 -1 n 0
273 -8 -14 n 77
173 -8 -24 n 78
44 -6 -30 n 79
714 -6 -1 n 80
714 -8 0 n 0
274 -8 -15 n 82
174 -8 -23 n 83
44 -6 -29 n 84
714 -6 0 n 85
714 -8 -1 n 0
275 -8 -16 n 87
175 -8 -24 n 88
44 -6 -30 n 89
714 -8 -1 n 90
714 -5 -2 n 0
276 -8 -15 n 92
176 -8 -23 n 93
44 -6 -29 n 94
714 -2 0 n 95
714 -10 0 n 0
269 -7 -15 n 97
169 -7 -23 n 98
43 -5 -29 n 99
714 -6 0 n 100
714 -8 0 n 0
270 -8 -14 n 102
170 -7 -22 n 103
43 -5 -28 n 104
714 -2 0 n 105
714 -9 0 n 0
271 -7 -14 n 107
171 -7 -23 n 108
43 -5 -29 n 109
714 -8 0 n 110
714 -6 0 n 0
272 -8 -13 n 112
172 -7 -23 n 113
43 -5 -28 n 114
714 -9 0 n 115
714 -2 0 n 0
265 -8 -15 n 117
165 -7 -24 n 118
42 -6 -29 n 119
714 -5 0 n 120
714 -9 -1 n 0
266 -8 -14 n 122
166 -8 -23 n 123
42 -6 -28 n 124
714 -6 0 n 0
267 -7 -15 n 126
167 -7 -24 n 127
42 -6 -29 n 128
714 -7 0 n 129
714 -6 1 n 0
268 -7 -15 n 131
168 -7 -23 n 132
42 -6 -28 n 133
714 -3 0 n 134
714 -9 0 n 0
261 -8 -15 n 136
161 -8 -24 n 137
41 -6 -29 n 138
714 -4 0 n 139
714 -7 -1 n 0
262 -7 -14 n 141
162 -7 -23 n 142
41 -6 -28 n 143
714 -4 0 n 144
714 -7 0 n 0
263 -7 -15 n 146
163 -7 -24 n 147
41 -6 -29 n 148
714 -8 0 n 149
714 -4 -1 n 0
264 -8 -14 n 151
164 -8 -23 n 152
