# This file contains frame data, the format is:
# first_element width height flags next
0 0 0 0 0
4218 18 35 256 2
4223 17 38 0 3
4220 17 41 0 1
5601 64 80 0 2867
5601 64 80 0 4
5601 64 80 0 5
5602 64 80 0 6
5602 64 80 0 7
5602 64 80 0 8
5601 64 80 0 9
5601 64 80 0 10
5601 64 80 0 11
5602 64 80 0 12
5602 64 80 0 13
5602 64 80 0 14
5601 64 80 0 15
5601 64 80 0 16
5601 64 80 256 17
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
8933 18 33 256 196
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
56 19 31 256 204
61 19 31 0 205
66 19 31 0 206
71 19 32 0 203
76 18 31 256 208
81 18 30 0 209
86 19 30 0 210
91 24 30 0 207
96 19 30 256 212
101 23 29 0 213
106 19 30 0 214
111 23 29 0 211
116 20 30 256 216
121 18 29 0 217
125 17 31 0 8721
4783 85 51 256 1708
135 20 30 256 220
140 19 29 0 221
145 20 30 0 222
150 20 29 0 219
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
8937 18 33 256 235
0 0 0 0 0
0 0 0 0 0
9727 18 32 256 250
0 0 0 0 0
8941 19 33 256 240
0 0 0 0 0
0 0 0 0 0
9112 20 32 256 243
8945 18 33 256 244
0 0 0 0 0
9120 19 32 256 246
9116 18 33 256 247
8949 18 33 256 248
9124 20 32 256 249
9731 19 31 0 265
9128 18 33 256 251
9132 19 33 256 252
8953 19 33 256 253
9136 20 33 256 254
9140 22 32 256 255
0 0 0 0 0
8957 20 33 256 257
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
8961 19 33 256 261
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
9736 19 31 0 266
9740 22 31 0 238
9745 18 33 256 268
9749 19 32 0 269
9753 20 33 0 270
9757 19 32 0 267
9761 20 33 256 272
9765 19 32 0 273
9770 19 33 0 274
9774 22 32 0 271
9793 18 32 0 276
9779 23 31 256 277
9784 18 32 0 278
9788 22 31 0 275
9797 17 33 256 280
9801 22 32 0 281
9806 18 33 0 282
9810 21 32 0 279
9815 19 33 256 284
9819 20 34 0 285
9823 19 33 0 286
9827 18 34 0 283
9831 20 33 256 288
9835 22 32 0 289
9840 19 33 0 290
9844 21 32 0 287
9849 19 33 256 292
9853 22 32 0 293
9858 19 33 0 294
9862 23 32 0 291
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
0 0 0 0 0
